state,city,newsportalname,newsportalurl,topic
Buenos Aires,La Plata,El Día,https://www.eldia.com/,narcotráfico
Buenos Aires,Mar del Plata,La Capital,https://www.lacapitalmdp.com/,narcotráfico
CABA,Buenos Aires,Clarín,https://www.clarin.com/,narcotráfico
Chaco,Resistencia,Diario Norte,https://www.diarionorte.com/,narcotráfico
Chaco,Sáenz Peña,Diario Chaco,https://www.diariochaco.com/,narcotráfico
Chubut,Rawson,El Chubut,https://www.elchubut.com.ar/,narcotráfico
Chubut,Comodoro Rivadavia,Crónica,https://www.cronica.com.ar/,narcotráfico
Córdoba,Córdoba,La Voz,https://www.lavoz.com.ar/,narcotráfico
Córdoba,Río Cuarto,Puntal,https://www.puntal.com.ar/,narcotráfico
Corrientes,Corrientes,Época,https://www.ellitoral.com.ar/corrientes/,narcotráfico
Corrientes,Goya,Goya en Noticias,https://www.goyaennoticias.com.ar/,narcotráfico
Formosa,Formosa,El Comercial,https://www.elcomercial.com.ar/,narcotráfico
Formosa,Clorinda,Expres Diario,https://www.expresdiario.com.ar/,narcotráfico
Jujuy,San Salvador de Jujuy,El Tribuno Jujuy,https://www.eltribuno.com/jujuy/,narcotráfico
Jujuy,Palpalá,Jujuy Al Momento,https://www.jujuyalmomento.com/,narcotráfico
La Pampa,Santa Rosa,Diario Textual,https://www.diariotextual.com/,narcotráfico
La Pampa,General Pico,Infopico,https://www.infopico.com/,narcotráfico
La Rioja,La Rioja,El Independiente,https://www.elindependiente.com.ar/,narcotráfico
La Rioja,Chilecito,El Independiente Chilecito,https://elindependiente.com.ar/secciones/chilecito/,narcotráfico
Mendoza,Mendoza,Los Andes,https://www.losandes.com.ar/,narcotráfico
Mendoza,San Rafael,Diario San Rafael,https://diariosanrafael.com.ar/,narcotráfico
Misiones,Posadas,Primera Edición,https://www.primeraedicion.com.ar/,narcotráfico
Misiones,Oberá,El Territorio,https://www.elterritorio.com.ar/,narcotráfico
Neuquén,Neuquén,LM Neuquén,https://www.lmneuquen.com/,narcotráfico
Neuquén,Plottier,Minuto Neuquén,https://www.minutoneuquen.com/,narcotráfico
Río Negro,VDM Noticias,Río Negro,https://www.vdmnoticias.com/,narcotráfico
Río Negro,Bariloche,El Cordillerano,https://www.elcordillerano.com.ar/,narcotráfico
Salta,Salta,El Tribuno,https://www.eltribuno.com/salta/,narcotráfico
Salta,Orán,El Oranense,http://www.diarioeloranense.com.ar/,narcotráfico
San Juan,San Juan,Diario de Cuyo,https://www.diariodecuyo.com.ar/,narcotráfico
San Juan,Rivadavia,Tiempo de San Juan,https://www.tiempodesanjuan.com/,narcotráfico
San Luis,San Luis,El Diario de la República,https://www.eldiariodelarepublica.com/,narcotráfico
San Luis,Villa Mercedes,Diario La Ventana,https://www.diariolaventana.com/,narcotráfico
Santa Cruz,Río Gallegos,Tiempo Sur,https://www.tiemposur.com.ar/,narcotráfico
Santa Cruz,Caleta Olivia,Voces y Apuntes,http://www.vocesyapuntes.com/,narcotráfico
Santa Fe,Santa Fe,El Litoral,https://www.ellitoral.com/,narcotráfico
Santa Fe,Rosario,La Capital,https://www.lacapital.com.ar/,narcotráfico
Santiago del Estero,Santiago del Estero,El Liberal,https://www.elliberal.com.ar/,narcotráfico
Santiago del Estero,La Banda,Nuevo Diario Web,https://www.nuevodiarioweb.com.ar/,narcotráfico
Tierra del Fuego,Ushuaia,El Diario del Fin del Mundo,https://www.eldiariodelfindelmundo.com/,narcotráfico
Tierra del Fuego,Río Grande,El Sureño,https://www.surenio.com.ar/,narcotráfico
Tucumán,San Miguel de Tucumán,La Gaceta,https://www.lagaceta.com.ar/,narcotráfico
Tucumán,Tafí Viejo,Tucumán Noticias,https://www.tucumanoticias.com.ar/,narcotráfico
Buenos Aires,Buenos Aires,Infobae,https://www.infobae.com/,narcotráfico
Buenos Aires,Buenos Aires,La Nación,https://www.lanacion.com.ar/,narcotráfico
Buenos Aires,Buenos Aires,Página 12,https://www.pagina12.com.ar/,narcotráfico
Buenos Aires,Buenos Aires,El Cronista,https://www.cronista.com/,narcotráfico
Buenos Aires,Buenos Aires,Perfil,https://www.perfil.com/,narcotráfico
Buenos Aires,Buenos Aires,Diario Popular,https://www.diariopopular.com.ar/,narcotráfico
