entity_group,score,word,start,end,index
LOC,0.9992812871932983,La Plata,294,302,1
PER,0.9989324808120728,Mariano Pérez de Eulate,329,352,1
MISC,0.6105595231056213,eldia,362,367,1
MISC,0.8616498708724976,Eulate mpeulate,3,18,1
MISC,0.7619703412055969,eldia,19,24,1
PER,0.9970805048942566,Morena Domínguez,101,117,1
LOC,0.9995484948158264,Lanús,292,297,1
MISC,0.9995737671852112,Primarias Abiertas,376,394,1
MISC,0.9996975064277649,Primarias Abiertas,35,53,1
PER,0.8875778317451477,Morena,391,397,1
PER,0.8749703764915466,Morena,50,56,1
PER,0.9977486729621887,Morena,274,280,1
PER,0.9949304461479187,Barrientos,303,313,1
LOC,0.9944553971290588,Conurbano,313,322,1
MISC,0.6249825954437256,TAMBIÉN,106,113,1
PER,0.9994072318077087,Julia Márquez,133,146,1
MISC,0.8538579344749451,Ejecución Penal Nº1,171,190,1
ORG,0.9391779899597168,Departamento Judicial Quilmes,195,224,1
PER,0.9976189732551575,Morena,128,134,1
PER,0.9978346228599548,Márquez,217,224,1
ORG,0.9992762207984924,Justicia,254,262,1
MISC,0.9988651871681213,Covid - 19,382,390,1
MISC,0.9938104748725891,Covid - 19,43,51,1
PER,0.9951344132423401,Morena,84,90,1
MISC,0.9688616991043091,búnker,358,364,1
LOC,0.828495979309082,LEA TAMBIÉN VIDEO,377,394,1
MISC,0.77754807472229,búnker,12,18,1
LOC,0.7313066124916077,LEA TAMBIÉN VIDEO,31,48,1
PER,0.7426108121871948,Morena,156,162,1
PER,0.9998019933700562,Axel Kicillof,219,232,1
PER,0.9997944831848145,Sergio Berni,247,259,1
PER,0.9947052597999573,Morena,132,138,1
LOC,0.9996418952941895,Buenos Aires,286,298,1
PER,0.999814510345459,Sergio Massa,64,76,1
ORG,0.6447635293006897,Juntos por el Cambio,81,101,1
LOC,0.999669075012207,Lanús,153,158,1
PER,0.9997569918632507,Néstor Grindetti,175,191,1
PER,0.9936960935592651,Patricia Bullrich,225,242,1
MISC,0.9993742108345032,Primarias,300,309,1
MISC,0.9777546525001526,Seguridad,383,392,1
ORG,0.7201013565063477,de Seguridad de la Nación,34,59,1
ORG,0.9996590614318848,Unión por la Patria,82,101,1
PER,0.9998108744621277,Bullrich,106,114,1
ORG,0.9992901086807251,Lanús,199,204,1
PER,0.9997004270553589,Javier Milei,208,220,1
PER,0.9997913837432861,Lucas Romero,292,304,1
ORG,0.999823272228241,Synopsis,323,331,1
LOC,0.9992499351501465,Buenos Aires,217,229,1
LOC,0.9846552610397339,Conurbano,251,260,1
PER,0.9998094439506531,Horacio Rodríguez Larreta,250,275,1
PER,0.9921436309814453,Juntos,388,394,1
ORG,0.9783363938331604,Juntos por el Cambio,38,58,1
LOC,0.9961617588996887,Gran Buenos Aires,225,242,1
MISC,0.905271053314209,CABA,253,257,1
PER,0.9963265061378479,Morena,292,298,1
LOC,0.9986966252326965,avenida 9 de Julio,160,178,1
MISC,0.5535305142402649,www,169,172,1
MISC,0.8633922934532166,eldia,173,178,1
ORG,0.8457611203193665,www,261,264,1
ORG,0.7492543458938599,eldia,265,270,1
MISC,0.5888988375663757,El Día,315,321,1
ORG,0.6504459381103516,El Día,338,344,1
MISC,0.8484506607055664,de La Plata,345,356,1
MISC,0.834021270275116,D. N. D,107,112,1
MISC,0.604569137096405,A,113,114,1
PER,0.9998217225074768,Raúl Kraiselburd,202,218,1
LOC,0.99857497215271,La Plata,240,248,1
ORG,0.9554020762443542,Pcia,251,255,1
ORG,0.9740857481956482,Bs. As,260,266,1
ORG,0.9932330250740051,www,182,185,1
ORG,0.9453893303871155,eldia,186,191,1
ORG,0.9282211065292358,El Día,241,247,1
